experiment,complexity,field.site,reef,treatment,id,density,avg.recruit
1,low,w2,37,cage,960,1,8
1,low,w2,38,cage,928,5,2
1,low,w2,39,cage,981,3,5.111111111
1,low,w2,40,cage,995,5,1.6
1,low,w2,41,cage,943,3,1.666666667
1,low,w2,42,cage,910,1,8
1,low,w2,43,cage,969,1,10.33333333
1,low,w2,44,cage,975,5,2.866666667
1,low,w2,45,cage,908,3,2.111111111
1,moderate,w2.200.c,82,cage,189,1,2.333333333
1,moderate,w2.200.c,83,cage,987,3,NA
1,moderate,w2.200.c,84,cage,940,5,6.266666667
1,moderate,w2.200.c,85,cage,920,3,3.888888889
1,moderate,w2.200.c,86,cage,952,1,6
1,moderate,w2.200.c,87,cage,990,5,5.266666667
1,moderate,w2.200.c,88,cage,966,1,2.333333333
1,moderate,w2.200.c,89,cage,926,5,NA
1,moderate,w2.200.c,90,cage,986,3,NA
1,high,w2.400.c,100,cage,161,3,7.111111111
1,high,w2.400.c,101,cage,155,5,3.2
1,high,w2.400.c,102,cage,792,1,4
1,high,w2.400.c,103,cage,168,1,1
1,high,w2.400.c,104,cage,177,5,3.866666667
1,high,w2.400.c,105,cage,159,3,2.888888889
1,high,w2.400.c,106,cage,162,5,3.733333333
1,high,w2.400.c,107,cage,180,1,5.666666667
1,high,w2.400.c,108,cage,200,3,3.333333333
2,low,w2,37,cage,798,1,0
2,low,w2,38,cage,154,5,0.1
2,low,w2,39,cage,199,3,NA
2,low,w2,40,cage,923,3,0.333333333
2,low,w2,41,cage,791,1,0
2,low,w2,42,cage,913,5,0
2,low,w2,43,cage,732,3,0
2,low,w2,44,cage,177,5,0
2,low,w2,45,cage,976,1,0
2,moderate,w2.200.c,73,cage,933,5,NA
2,moderate,w2.200.c,74,cage,903,3,0
2,moderate,w2.200.c,75,cage,963,1,0
2,moderate,w2.200.c,76,cage,930,3,0
2,moderate,w2.200.c,77,cage,927,5,0
2,moderate,w2.200.c,78,cage,184,1,0
2,moderate,w2.200.c,79,cage,909,5,0
2,moderate,w2.200.c,80,cage,733,1,0
2,moderate,w2.200.c,81,cage,938,3,0
2,high,w2.400.c,100,cage,935,3,0
2,high,w2.400.c,101,cage,758,5,0
2,high,w2.400.c,102,cage,939,1,0
2,high,w2.400.c,103,cage,968,3,0
2,high,w2.400.c,104,cage,914,1,0
2,high,w2.400.c,105,cage,793,5,0.2
2,high,w2.400.c,106,cage,191,1,0
2,high,w2.400.c,107,cage,759,5,0
2,high,w2.400.c,108,cage,760,3,0.166666667
3,low,w2,NA,cage,703,4,3.41666667
3,low,w2,NA,cage,735,4,1.5
3,low,w2,NA,cage,767,4,0.41666667
3,low,w2,NA,cage,795,4,1.16666667
3,low,w2,NA,cage,909,4,0.83333333
3,low,w2,NA,cage,932,4,0.16666667
3,low,w2,NA,cage,962,4,1.66666667
3,low,w2,NA,cage,979,4,0.41666667
3,moderate,w2.200.c,NA,cage,154,4,0.08333333
3,moderate,w2.200.c,NA,cage,179,4,0.5
3,moderate,w2.200.c,NA,cage,197,4,0.33333333
3,moderate,w2.200.c,NA,cage,765,4,0.83333333
3,moderate,w2.200.c,NA,cage,934,4,0.08333333
3,moderate,w2.200.c,NA,cage,948,4,0.41666667
3,moderate,w2.200.c,NA,cage,961,4,0.08333333
3,moderate,w2.200.c,NA,cage,992,4,0.58333333
3,high,w2.400.c,NA,cage,131,4,0.66666667
3,high,w2.400.c,NA,cage,173,4,1
3,high,w2.400.c,NA,cage,188,4,0
3,high,w2.400.c,NA,cage,732,4,1.08333333
3,high,w2.400.c,NA,cage,764,4,0.25
3,high,w2.400.c,NA,cage,768,4,0.58333333
3,high,w2.400.c,NA,cage,947,4,0.58333333
3,high,w2.400.c,NA,cage,965,4,0.5
4,low,w2,NA,cage,158,4,4.25
4,low,w2,NA,cage,169,4,4
4,low,w2,NA,cage,180,4,4.166666667
4,low,w2,NA,cage,764,4,4.5
4,low,w2,NA,cage,799,4,5.25
4,low,w2,NA,cage,941,4,4.416666667
4,low,w2,NA,cage,959,4,4.666666667
4,low,w2,NA,cage,970,4,1.5
4,moderate,w2.200.c,NA,cage,159,4,2.833333333
4,moderate,w2.200.c,NA,cage,168,4,4.333333333
4,moderate,w2.200.c,NA,cage,195,4,6.583333333
4,moderate,w2.200.c,NA,cage,703,4,3.25
4,moderate,w2.200.c,NA,cage,706,4,2.916666667
4,moderate,w2.200.c,NA,cage,735,4,4.333333333
4,moderate,w2.200.c,NA,cage,909,4,1.833333333
4,moderate,w2.200.c,NA,cage,913,4,4.333333333
4,high,w2.400.c,NA,cage,172,4,1.833333333
4,high,w2.400.c,NA,cage,218,4,2.916666667
4,high,w2.400.c,NA,cage,920,4,2.25
4,high,w2.400.c,NA,cage,930,4,3.25
4,high,w2.400.c,NA,cage,931,4,2.166666667
4,high,w2.400.c,NA,cage,949,4,3.916666667
4,high,w2.400.c,NA,cage,977,4,NA
4,high,w2.400.c,NA,cage,982,4,3.166666667